molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL4208764,4300.0,nM,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],5.366531544420413
CHEMBL61320,4450.0,nM,O=C1Nc2ccc(S(=O)(=O)N3CCCCC3)cc2C1=O,5.351639989019068
CHEMBL2316337,4600.0,nM,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@H](C#N)CCC(N)=O,5.337242168318426
CHEMBL3099530,4700.0,nM,CC1CC(C)CN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccccc2)C1,5.327902142064282
CHEMBL4208240,5100.0,nM,CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],5.292429823902063
CHEMBL551130,5200.0,nM,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(OCc3cccc(Cl)c3)cc(O)c12,5.2839966563652006
CHEMBL4202812,5200.0,nM,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,5.2839966563652006
CHEMBL492571,5400.0,nM,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,5.267606240177031
CHEMBL479172,5400.0,nM,CCC(=C\c1sc2c3ccccc3ccc2[n+]1CC)/C=C1/Sc2cc(C)c(C)cc2N1CC,5.267606240177031
CHEMBL4212620,5500.0,nM,CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,5.259637310505756
CHEMBL54804,5500.0,nM,COC(=O)[C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,5.259637310505756
CHEMBL1277046,5500.0,nM,N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,5.259637310505756
CHEMBL3099521,5520.0,nM,CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(c4ccccn4)CC3)ccc21,5.258060922270801
